Language_ID,Country_Native,Country_ID
1,Albania,1
1,Bosnia And Herzegovina,6
1,Poland,33
1,Bulgaria,7
1,Romania,35
1,Croatia,8
1,Czechia,10
1,Estonia,12
1,Hungary,17
1,Serbia,38
1,Slovakia,39
1,Latvia,22
1,Lithuania,24
1,Malta,26
1,North Macedonia,31
1,Slovenia,40
1,Montenegro,29
1,Kosovo,17
1,Cyprus,9
2,Албанија,1
2,Босна И Херцеговина,6
2,Полска,33
2,Бугарија,7
2,Романија,35
2,Хрватска,8
2,Чешка,10
2,Естонија,12
2,Унгарија,17
2,Србија,38
2,Словачка,39
2,Летонија,22
2,Литванија,24
2,Малта,26
2,Северна Македонија,31
2,Словенија,40
2,Црна Гора,29
2,Косово,17
2,Кипар,9
3,Shqipëria,1
3,Bosnjë Dhe Hercegovinë,6
3,Polonia,33
3,Bullgaria,7
3,Rumania,35
3,Kroacia,8
3,Çekia,10
3,Estonia,12
3,Hungaria,17
3,Serbia,38
3,Sllovakia,39
3,Letonia,22
3,Lituania,24
3,Malta,26
3,Maqedonia E Veriut,31
3,Sllovenia,40
3,Mali I Zi,29
3,Kosova,17
3,Qipro,9
4,Албанија,1
4,Босна И Херцеговина,6
4,Пољска,33
4,Бугарска,7
4,Румунија,35
4,Хрватска,8
4,Чешка,10
4,Естонија,12
4,Мађарска,17
4,Србија,38
4,Словачка,39
4,Летонија,22
4,Литванија,24
4,Малта,26
4,Северна Македонија,31
4,Словенија,40
4,Црна Гора,29
4,Косово,17
4,Кипар,9
5,Arnavutluk,1
5,Bosna Hersek,6
5,Polonya,33
5,Bulgaristan,7
5,Romanya,35
5,Hırvatistan,8
5,Çekya,10
5,Estonya,12
5,Macaristan,17
5,Sırbistan,38
5,Slovakya,39
5,Letonya,22
5,Litvanya,24
5,Malta,26
5,Kuzey Makedonya,31
5,Slovenya,40
5,Karadağ,29
5,Kosova,17
5,Kıbrıs,9
6,Αλβανία,1
6,Βοσνία Και Ερζεγοβίνη,6
6,Πολωνία,33
6,Βουλγαρία,7
6,Ρουμανία,35
6,Κροατία,8
6,Τσεχία,10
6,Εσθονία,12
6,Ουγγαρία,17
6,Σερβία,38
6,Σλοβακία,39
6,Λετονία,22
6,Λιθουανία,24
6,Μάλτα,26
6,Βόρεια Μακεδονία,31
6,Σλοβενία,40
6,Μαυροβούνιο,29
6,Κοσσυφοπέδιο,17
6,Κύπρος,9
7,Albánia,1
7,Bosznia És Hercegovina,6
7,Lengyelország,33
7,Bulgária,7
7,Románia,35
7,Horvátország,8
7,Csehország,10
7,Észtország,12
7,Magyarország,17
7,Szerbia,38
7,Szlovákia,39
7,Lettország,22
7,Litvánia,24
7,Málta,26
7,Észak-Macedónia,31
7,Szlovénia,40
7,Montenegró,29
7,Koszovó,17
7,Ciprus,9
8,Albanien,1
8,Bosnien Und Herzegowina,6
8,Polen,33
8,Bulgarien,7
8,Rumänien,35
8,Kroatien,8
8,Tschechien,10
8,Estland,12
8,Ungarn,17
8,Serbien,38
8,Slowakei,39
8,Lettland,22
8,Litauen,24
8,Malta,26
8,Nordmakedonien,31
8,Slowenien,40
8,Montenegro,29
8,Kosovo,17
8,Zypern,9
9,Албания,1
9,Босния И Герцеговина,6
9,Польша,33
9,Болгария,7
9,Румыния,35
9,Хорватия,8
9,Чехия,10
9,Эстония,12
9,Венгрия,17
9,Сербия,38
9,Словакия,39
9,Латвия,22
9,Литва,24
9,Мальта,26
9,Северная Македония,31
9,Словения,40
9,Черногория,29
9,Косово,17
9,Кипр,9
10,Албания,1
10,Босна И Херцеговина,6
10,Полша,33
10,България,7
10,Румъния,35
10,Хърватия,8
10,Чехия,10
10,Естония,12
10,Унгария,17
10,Сърбия,38
10,Словакия,39
10,Латвия,22
10,Литва,24
10,Малта,26
10,Северна Македония,31
10,Словения,40
10,Черна Гора,29
10,Косово,17
10,Кипър,9
11,Albanija,1
11,Bosna I Hercegovina,6
11,Poljska,33
11,Bugarska,7
11,Rumunjska,35
11,Hrvatska,8
11,Češka,10
11,Estonija,12
11,Mađarska,17
11,Srbija,38
11,Slovačka,39
11,Latvija,22
11,Litva,24
11,Malta,26
11,Sjeverna Makedonija,31
11,Slovenija,40
11,Crna Gora,29
11,Kosovo,17
11,Cipar,9
12,Albania,1
12,Bosnia Si Hertegovina,6
12,Polonia,33
12,Bulgaria,7
12,România,35
12,Croaţia,8
12,Cehia,10
12,Estonia,12
12,Ungaria,17
12,Serbia,38
12,Slovacia,39
12,Letonia,22
12,Lituania,24
12,Malta,26
12,Macedonia De Nord,31
12,Slovenia,40
12,Muntenegru,29
12,Kosovo,17
12,Cipru,9
13,Albánsko,1
13,Bosna A Hercegovina,6
13,Poľsko,33
13,Bulharsko,7
13,Rumunsko,35
13,Chorvátsko,8
13,Česko,10
13,Estónsko,12
13,Maďarsko,17
13,Srbsko,38
13,Slovensko,39
13,Lotyšsko,22
13,Litva,24
13,Malta,26
13,Severné Macedónsko,31
13,Slovinsko,40
13,Čierna Hora,29
13,Kosovo,17
13,Cyprus,9
14,Albánie,1
14,Bosna A Hercegovina,6
14,Polsko,33
14,Bulharsko,7
14,Rumunsko,35
14,Chorvatsko,8
14,Česko,10
14,Estonsko,12
14,Maďarsko,17
14,Srbsko,38
14,Slovensko,39
14,Lotyšsko,22
14,Litva,24
14,Malta,26
14,Severní Makedonie,31
14,Slovinsko,40
14,Černá Hora,29
14,Kosovo,17
14,Kypr,9
15,Albania,1
15,Bośnia I Hercegowina,6
15,Polska,33
15,Bułgaria,7
15,Rumunia,35
15,Chorwacja,8
15,Czechy,10
15,Estonia,12
15,Węgry,17
15,Serbia,38
15,Słowacja,39
15,Łotwa,22
15,Litwa,24
15,Malta,26
15,Macedonia Północna,31
15,Słowenia,40
15,Czarnogóra,29
15,Kosowo,17
15,Cypr,9
16,Albania,1
16,Bosnia Erzegovina,6
16,Polonia,33
16,Bulgaria,7
16,Romania,35
16,Croazia,8
16,Czechia,10
16,Estonia,12
16,Ungheria,17
16,Serbia,38
16,Slovacchia,39
16,Lettonia,22
16,Lituania,24
16,Malta,26
16,Macedonia Del Nord,31
16,Slovenia,40
16,Montenegro,29
16,Kosovo,17
16,Cipro,9
17,Albanië,1
17,Bosnië-Herzegovina,6
17,Polen,33
17,Bulgarije,7
17,Roemenië,35
17,Kroatië,8
17,Tsjechië,10
17,Estland,12
17,Hongarije,17
17,Servië,38
17,Slowakije,39
17,Letland,22
17,Litouwen,24
17,Malta,26
17,Noord-Macedonië,31
17,Slovenië,40
17,Montenegro,29
17,Kosovo,17
17,Cyprus,9
18,Albanie,1
18,Bosnie Herzégovine,6
18,Pologne,33
